"Team","total","minimum","maximum","first_quartile","median","third_quartile","average","interquartile_range","standard_deviation"
"ATL",71453126,75000,1.9e+07,986819,2435000,6309859.25,4465820.375,5323040.25,5174706.42457417
"BOS",77202316,9266,15493680,1161480,2107778.5,4607760,3509196.18181818,3446280,4020115.36491484
"BRK",84155105,50000,24894863,921721.75,1349190,3944132.5,4207755.25,3022410.75,6838387.73476628
"CHI",85385898,525090,20093063,1203290.5,2380440,7974380,5692393.2,6771089.5,6127832.50783157
"CHO",77609865,80000,13833333,1126157,3619278,6498553,4850616.5625,5372396,4482843.95400356
"CLE",105962520,8819,22971000,1399500,4950000,11630435,7064168,10230935,7481394.86373996
"DAL",74040317,10000,16400000,525094,1499187,4053000,3525729.38095238,3527906,4657611.6109009
"DEN",72606354,99418,1.4e+07,887649.5,1775860,3645833.25,3300288.81818182,2758183.75,3848997.05611984
"DET",76638790,60000,1.6e+07,845059,2500000,5e+06,3649466.19047619,4154941,4267639.81925264
"GSW",93707197,458575,15500000,1236213,3844199,11455703.5,5856699.8125,10219490.5,5310426.41359519
"HOU",90188412,83583,22359364,1200180,1967302.5,7769772.5,5010467.33333333,6569592.5,6233919.18118298
"IND",71286088,265058,17120106,1e+06,3700000,5e+06,4193299.29411765,4e+06,4385895.95208249
"LAC",95585714,61776,21468696,732837,1215322,6569000,5310317.44444444,5836163,7208966.51239279
"LAL",72415125,35000,2.5e+07,736264.75,1327393.5,4610400,4023062.5,3874135.25,6438572.47810337
"MEM",83037255,30888,19700000,171453,1216140,5042134.75,3459885.625,4870681.75,4680161.94767194
"MIA",85826352,12355,22192730,765067.5,1834826,6695696.75,5364147,5930629.25,7346657.25049113
"MIL",70993573,57726,16400000,1662360,2109294,5152440,4176092.52941176,3490080,4835715.70265516
"MIN",72458417,247623,12365000,1499187,2148360,5758680,4262259.82352941,4259493,3793339.25231473
"NOP",84384711,44000,15514031,178532.5,1437100,6378047.5,3835668.68181818,6199515,4650996.43169552
"NYK",75311181,50000,22875000,152026.5,1611180,4323790,3765559.05,4171763.5,5627486.18125744
"OKC",94622660,352750,20158622,1742280,3344000,8744215,6308177.33333333,7001935,6616957.25356614
"ORL",63349656,1e+05,11250000,964313,2380594,4650000,3334192.42105263,3685687,3096854.6389765
"PHI",63646397,172739,1.2e+07,867876,1100602,3228900,2767234.65217391,2361024,3084673.46210602
"PHO",69701209,55722,13086957,236017.75,1329673.5,4401780,3168236.77272727,4165762.25,4244070.57764303
"POR",61000674,525093,9638554,1064337,2854940,4809071.75,3388926.33333333,3744734.75,2682024.71332089
"SAC",71840771,35000,14728844,929571.5,2249593.5,6003389.5,3991153.94444444,5073818,4427799.7159939
"SAS",87365099,317475,19500000,996176.75,1499187,6500000,4853616.61111111,5503823.25,6014367.92114824
"TOR",71934665,25000,13500000,569738.75,2171000,5062530.25,3596733.25,4492791.5,4065879.55241077
"UTA",64783884,50000,15409570,947276,1348440,3e+06,3084946.85714286,2052724,4130076.70856871
"WAS",84237317,176375,15851950,1305511.5,3650000,5674380.5,4679850.94444444,4368869,4608789.15814421
